iter	MAPE
0	0.8293902773
1	0.8258865551
2	0.8247034681
3	0.8136636601
4	0.8090853932
5	0.7971292853
6	0.7848927546
7	0.782329768
8	0.7802716532
9	0.7703340564
10	0.7694339147
11	0.7581622629
12	0.7498965207
13	0.7425629691
14	0.7402302354
15	0.731762246
16	0.7239434899
17	0.7177132308
18	0.7128019382
19	0.7119476737
20	0.7038112231
21	0.6992955718
22	0.6934902201
23	0.6868118264
24	0.6770309983
25	0.6763492298
26	0.6707289177
27	0.6695711596
28	0.66354028
29	0.6576362481
30	0.6508679638
31	0.6444538685
32	0.6443704663
33	0.6381688798
34	0.6374178344
35	0.6320477547
36	0.6270843858
37	0.6219323335
38	0.6197510373
39	0.6163411167
40	0.6105218269
41	0.6054676571
42	0.6045044024
43	0.5978248382
44	0.5970641835
45	0.5947876779
46	0.5911877707
47	0.5864263537
48	0.5845458294
49	0.5792514534
50	0.5745094811
51	0.5737719285
52	0.5701453769
53	0.5677355052
54	0.5661449587
55	0.5630415135
56	0.5592415127
57	0.5589326532
58	0.5554597654
59	0.5543789656
60	0.5512591592
61	0.5491918942
62	0.5483526176
63	0.5478593459
64	0.5458026267
65	0.5450222204
66	0.5438671102
67	0.54185105
68	0.5409203655
69	0.5391659151
70	0.5381699789
71	0.5355375734
72	0.5335971073
73	0.5319252434
74	0.5313981745
75	0.5311034454
76	0.5306443459
77	0.5279827332
78	0.5264640697
79	0.5241202734
80	0.5221707474
81	0.5209121969
82	0.5208823278
83	0.5195899291
84	0.5183403414
85	0.5176121696
86	0.517273991
87	0.5159672552
88	0.5147414995
89	0.5134518212
90	0.5124962263
91	0.5117200523
92	0.5113301105
93	0.5105617293
94	0.5089957657
95	0.5084077625
96	0.507076348
97	0.506112297
98	0.504414626
99	0.5040919635
100	0.5039466035
101	0.5034886192
102	0.5030065397
103	0.5022740516
104	0.5021118648
105	0.5017558681
106	0.5013640429
107	0.5000667536
108	0.4997042061
109	0.499380277
110	0.4976172737
111	0.4968140572
112	0.4964681005
113	0.4961923578
114	0.4960869798
115	0.4960608238
116	0.4952007941
117	0.4948404118
118	0.4942042716
119	0.4926292825
120	0.4925455023
121	0.49174155
122	0.4915612113
123	0.4914771052
124	0.4914462913
125	0.4910590496
126	0.4907981802
127	0.4907632049
128	0.4900352018
129	0.4897010053
130	0.4890713967
131	0.4888007028
132	0.4884782747
133	0.4882242583
134	0.4878172408
135	0.4877765739
136	0.4870434376
137	0.4857971628
138	0.4855985933
139	0.485077231
140	0.4849385566
141	0.4849063658
142	0.4848762234
143	0.4848271276
144	0.4845272626
145	0.483783769
146	0.4836341772
147	0.483499349
148	0.48334599
149	0.482981347
150	0.4822137812
151	0.4815096903
152	0.4813834753
153	0.4813778286
154	0.4811193193
155	0.4807210965
156	0.4799799248
157	0.4795554254
158	0.4790589084
159	0.4790374539
160	0.4786088831
161	0.478211329
162	0.4781868085
163	0.4781758599
164	0.4778847231
165	0.4777914751
166	0.4776443825
167	0.4776398062
168	0.4767847782
169	0.4764649935
170	0.4763072474
171	0.4762359449
172	0.4761157188
173	0.4760510186
174	0.4758295996
175	0.4750203102
176	0.4749657039
177	0.4745509576
178	0.4743295293
179	0.4740242468
180	0.4727848685
181	0.4727453399
182	0.4727354057
183	0.4727097557
184	0.4727007714
185	0.472444572
186	0.472392092
187	0.4722191488
188	0.4721582649
189	0.4718445688
190	0.4718121739
191	0.4717919938
192	0.47174137
193	0.4704612243
194	0.4688410607
195	0.4688351349
196	0.4686941626
197	0.4683987057
198	0.4683501486
199	0.4677920579
200	0.4676989938
201	0.4674607463
